Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s
S Dube (IND),2024-2024,8,8,2,133,34,22.16,116,114.65,0,0,1,6,7
GJ Maxwell (AUS),2024-2024,7,6,1,132,59,26.4,93,141.93,0,1,1,12,7
MR Marsh (AUS),2024-2024,7,7,1,125,37,20.83,107,116.82,0,0,0,13,5
HG Munsey (SCOT),2024-2024,4,4,1,124,41,41.33,89,139.32,0,0,0,8,9
AK Markram (SA),2024-2024,9,9,1,123,46,15.37,122,100.81,0,0,1,14,2
Babar Azam (PAK),2024-2024,4,4,1,122,44,40.66,120,101.66,0,0,0,8,3
SE Rutherford (WI),2024-2024,7,6,3,121,68,40.33,82,147.56,0,1,1,5,9
RR Hendricks (SA),2024-2024,9,9,1,113,43,14.12,129,87.59,0,0,2,11,3
Najmul Hossain Shanto (BAN),2024-2024,7,7,0,112,41,16.0,117,95.72,0,0,0,7,5
Shakib Al Hasan (BAN),2024-2024,7,7,1,111,64,18.5,104,106.73,0,1,1,12,1
Azmatullah Omarzai (AFG),2024-2024,8,8,0,111,26,13.87,102,108.82,0,0,0,7,4
Mohammad Rizwan (PAK),2024-2024,4,4,1,110,53,36.66,121,90.9,0,1,0,5,3
JM Bairstow (ENG),2024-2024,8,6,2,110,48,27.5,82,134.14,0,0,1,11,4
SD Hope (WI),2024-2024,3,3,1,107,82,53.5,57,187.71,0,1,1,4,10
RD Berrington (SCOT),2024-2024,4,3,2,102,47,102.0,73,139.72,0,0,0,4,5
MG Erasmus (NAM),2024-2024,4,4,1,102,52,34.0,93,109.67,0,1,0,10,3
R Powell (WI),2024-2024,7,6,0,102,36,17.0,71,143.66,0,0,0,4,8
NR Kirton (CAN),2024-2024,3,3,0,101,51,33.66,72,140.27,0,1,0,6,4
NR Kumar (USA),2024-2024,6,5,1,99,30,24.75,86,115.11,0,0,0,6,4
SA Engelbrecht (NED),2024-2024,4,4,0,98,40,24.5,92,106.52,0,0,0,6,3
Mahmudullah (BAN),2024-2024,7,7,1,95,25,15.83,101,94.05,0,0,0,8,3
RL Chase (WI),2024-2024,6,3,1,94,52,47.0,72,130.55,0,1,1,7,4
Ayaan Khan (OMA),2024-2024,4,4,1,93,41,31.0,95,97.89,0,0,0,6,3
AR Patel (IND),2024-2024,8,5,1,92,47,23.0,66,139.39,0,0,0,5,6
Gulbadin Naib (AFG),2024-2024,8,8,1,90,49,12.85,86,104.65,0,0,2,9,3
A Johnson (CAN),2024-2024,3,3,0,89,52,29.66,73,121.91,0,1,0,12,4
MA Jones (SCOT),2024-2024,4,4,1,89,45,29.66,66,134.84,0,0,0,8,5
BA King (WI),2024-2024,5,5,1,86,34,21.5,68,126.47,0,0,0,13,2
MP O'Dowd (NED),2024-2024,4,4,1,79,54,26.33,78,101.28,0,1,0,7,2
